Minutes Index, Status Register, Accumulated Charge, Voltage, Current
0, 0, 51526, 8.979, 1.849
1, 0, 51515, 8.980, 1.850
2, 0, 51498, 8.495, -0.577
3, 0, 51481, 8.455, -0.603
4, 0, 51463, 8.432, -0.580
5, 0, 51446, 8.408, -0.590
6, 0, 51429, 8.387, -0.592
7, 0, 51412, 8.367, -0.602
8, 0, 51394, 8.354, -0.582
9, 0, 51377, 8.337, -0.600
10, 0, 51360, 8.323, -0.606
11, 0, 51342, 8.309, -0.603
12, 0, 51325, 8.301, -0.581
13, 0, 51308, 8.287, -0.593
14, 0, 51291, 8.274, -0.605
15, 0, 51273, 8.264, -0.600
16, 0, 51256, 8.257, -0.579
17, 0, 51238, 8.244, -0.651
18, 0, 51221, 8.233, -0.605
19, 0, 51204, 8.224, -0.602
20, 0, 51186, 8.218, -0.579
21, 0, 51169, 8.207, -0.598
22, 0, 51151, 8.196, -0.609
23, 0, 51134, 8.188, -0.606
24, 0, 51116, 8.182, -0.587
25, 0, 51096, 8.171, -0.602
26, 0, 51075, 8.135, -0.743
27, 0, 51054, 8.127, -0.732
28, 0, 51033, 8.120, -0.716
29, 0, 51015, 8.108, -0.731
30, 0, 50997, 8.120, -0.644
31, 0, 50979, 8.114, -0.606
32, 0, 50961, 8.109, -0.592
33, 0, 50943, 8.102, -0.600
34, 0, 50926, 8.092, -0.619
35, 0, 50908, 8.088, -0.602
36, 0, 50890, 8.082, -0.609
37, 0, 50872, 8.075, -0.597
38, 0, 50855, 8.063, -0.625
39, 0, 50837, 8.061, -0.597
40, 0, 50819, 8.052, -0.601
41, 0, 50801, 8.046, -0.605
42, 0, 50783, 8.037, -0.622
43, 0, 50766, 8.034, -0.597
44, 0, 50748, 8.027, -0.606
45, 0, 50730, 8.021, -0.600
46, 0, 50712, 8.008, -0.633
47, 0, 50694, 8.007, -0.606
48, 0, 50676, 8.001, -0.602
49, 0, 50658, 7.995, -0.603
50, 0, 50640, 7.984, -0.632
51, 0, 50622, 7.984, -0.597
52, 0, 50603, 7.975, -0.611
53, 0, 50585, 7.969, -0.605
54, 0, 50567, 7.959, -0.629
55, 0, 50549, 7.959, -0.609
56, 0, 50531, 7.951, -0.614
57, 0, 50513, 7.947, -0.600
58, 0, 50495, 7.935, -0.632
59, 0, 50477, 7.937, -0.592
60, 0, 50459, 7.928, -0.613
61, 0, 50441, 7.922, -0.607
62, 0, 50423, 7.913, -0.625
63, 0, 50405, 7.913, -0.595
64, 0, 50386, 7.904, -0.619
65, 0, 50368, 7.899, -0.615
66, 0, 50350, 7.890, -0.631
67, 0, 50332, 7.888, -0.614
68, 0, 50313, 7.883, -0.610
69, 0, 50295, 7.877, -0.614
70, 0, 50277, 7.869, -0.629
71, 0, 50258, 7.866, -0.613
72, 0, 50240, 7.861, -0.613
73, 0, 50221, 7.856, -0.616
74, 0, 50203, 7.849, -0.627
75, 0, 50185, 7.846, -0.611
76, 0, 50166, 7.840, -0.618
77, 0, 50148, 7.834, -0.620
78, 0, 50129, 7.828, -0.631
79, 0, 50111, 7.827, -0.602
80, 0, 50093, 7.822, -0.614
81, 0, 50074, 7.815, -0.623
82, 0, 50056, 7.809, -0.628
83, 0, 50037, 7.807, -0.616
84, 0, 50019, 7.802, -0.618
85, 0, 50000, 7.793, -0.636
86, 0, 49982, 7.790, -0.635
